Memory Length,4000,
Trigger Level,7.40000e+02,
Source,CH2,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,5.00000e-02,
Vertical Position,4.00000e-03,
Horizontal Units,S,
Horizontal Scale,5.00000e-04,
Horizontal Position,6.0000000e-05,
Horizontal Mode,Main,
Sampling Period,2.00000e-06,
Firmware,V1.14,
Time, ,
Mode,Detail,
Waveform Data,
-3.940000e-3,-1.80e-2,
-3.938000e-3,-1.80e-2,
-3.936000e-3,-1.80e-2,
-3.934000e-3,-1.80e-2,
-3.932000e-3,-1.80e-2,
-3.930000e-3,-1.80e-2,
-3.928000e-3,-1.80e-2,
-3.926000e-3,-1.80e-2,
-3.924000e-3,-1.80e-2,
-3.922000e-3,-1.80e-2,
-3.920000e-3,-1.80e-2,
-3.918000e-3,-2.00e-2,
-3.916000e-3,-2.00e-2,
-3.914000e-3,-2.00e-2,
-3.912000e-3,-2.00e-2,
-3.910000e-3,-1.80e-2,
-3.908000e-3,-1.80e-2,
-3.906000e-3,-2.00e-2,
-3.904000e-3,-2.00e-2,
-3.902000e-3,-1.80e-2,
-3.900000e-3,-1.80e-2,
-3.898000e-3,-1.80e-2,
-3.896000e-3,-1.80e-2,
-3.894000e-3,-2.00e-2,
-3.892000e-3,-2.00e-2,
-3.890000e-3,-2.00e-2,
-3.888000e-3,-2.00e-2,
-3.886000e-3,-2.00e-2,
-3.884000e-3,-2.00e-2,
-3.882000e-3,-2.00e-2,
-3.880000e-3,-2.00e-2,
-3.878000e-3,-2.00e-2,
-3.876000e-3,-2.00e-2,
-3.874000e-3,-2.00e-2,
-3.872000e-3,-2.00e-2,
-3.870000e-3,-2.00e-2,
-3.868000e-3,-2.00e-2,
-3.866000e-3,-2.00e-2,
-3.864000e-3,-2.00e-2,
-3.862000e-3,-2.20e-2,
-3.860000e-3,-2.20e-2,
-3.858000e-3,-2.00e-2,
-3.856000e-3,-2.00e-2,
-3.854000e-3,-2.20e-2,
-3.852000e-3,-2.20e-2,
-3.850000e-3,-2.00e-2,
-3.848000e-3,-2.00e-2,
-3.846000e-3,-2.00e-2,
-3.844000e-3,-2.00e-2,
-3.842000e-3,-2.00e-2,
-3.840000e-3,-2.00e-2,
-3.838000e-3,-2.20e-2,
-3.836000e-3,-2.20e-2,
-3.834000e-3,-2.00e-2,
-3.832000e-3,-2.00e-2,
-3.830000e-3,-2.20e-2,
-3.828000e-3,-2.20e-2,
-3.826000e-3,-2.00e-2,
-3.824000e-3,-2.00e-2,
-3.822000e-3,-2.40e-2,
-3.820000e-3,-2.40e-2,
-3.818000e-3,-2.40e-2,
-3.816000e-3,-2.40e-2,
-3.814000e-3,-2.20e-2,
